FECHAHORA,DEM
2015-01-07T07UTC+01:00,3920.471
2015-01-07T08UTC+01:00,4598.186
2015-01-07T09UTC+01:00,6398.495
2015-01-07T10UTC+01:00,6784.642
2015-01-07T11UTC+01:00,6815.466
2015-01-07T12UTC+01:00,6566.454
2015-01-07T13UTC+01:00,5300.136
2015-01-07T14UTC+01:00,4800.322
2015-01-07T15UTC+01:00,4582.943
2015-01-07T16UTC+01:00,4662.3
2015-01-07T17UTC+01:00,4896.21
2015-01-07T18UTC+01:00,5317.396
2015-01-07T19UTC+01:00,5200.809
2015-01-07T20UTC+01:00,4770.73
2015-01-07T21UTC+01:00,3886.302
2015-01-07T22UTC+01:00,3035.024
2015-01-07T23UTC+01:00,2600.25
2015-01-08T00UTC+01:00,2591.128
2015-01-08T01UTC+01:00,2508.845
2015-01-08T02UTC+01:00,2441.242
2015-01-08T03UTC+01:00,2394.839
2015-01-08T04UTC+01:00,2405.284
2015-01-08T05UTC+01:00,2611.761
2015-01-08T06UTC+01:00,3272.72
2015-01-08T07UTC+01:00,4217.588
2015-01-08T08UTC+01:00,4928.575
2015-01-08T09UTC+01:00,6714.267
2015-01-08T10UTC+01:00,7025.778
2015-01-08T11UTC+01:00,6968.194
2015-01-08T12UTC+01:00,6680.959
2015-01-08T13UTC+01:00,5400.149
2015-01-08T14UTC+01:00,4861.836
2015-01-08T15UTC+01:00,4685.619
2015-01-08T16UTC+01:00,4759.146
2015-01-08T17UTC+01:00,4995.464
2015-01-08T18UTC+01:00,5403.994
2015-01-08T19UTC+01:00,5290.79
2015-01-08T20UTC+01:00,4846.149
2015-01-08T21UTC+01:00,3941.311
2015-01-08T22UTC+01:00,3075.82
2015-01-08T23UTC+01:00,2615.138
2015-01-09T00UTC+01:00,2655.645
2015-01-09T01UTC+01:00,2560.886
2015-01-09T02UTC+01:00,2502.927
2015-01-09T03UTC+01:00,2459.058
2015-01-09T04UTC+01:00,2474.356
2015-01-09T05UTC+01:00,2685.717
2015-01-09T06UTC+01:00,3360.42
2015-01-09T07UTC+01:00,4305.593
2015-01-09T08UTC+01:00,5034.466
2015-01-09T09UTC+01:00,6843.648
2015-01-09T10UTC+01:00,7086.425
2015-01-09T11UTC+01:00,6984.977
2015-01-09T12UTC+01:00,6689.953
2015-01-09T13UTC+01:00,5352.146
2015-01-09T14UTC+01:00,4746.701
2015-01-09T15UTC+01:00,4477.84
2015-01-09T16UTC+01:00,4527.837
2015-01-09T17UTC+01:00,4740.131
2015-01-09T18UTC+01:00,5223.318
2015-01-09T19UTC+01:00,5157.625
2015-01-09T20UTC+01:00,4761.751
2015-01-09T21UTC+01:00,3887.791
2015-01-09T22UTC+01:00,3037.594
2015-01-09T23UTC+01:00,2604.507
2015-01-10T00UTC+01:00,2511.635
2015-01-10T01UTC+01:00,2390.992
