FECHAHORA,DEM
2007-01-07T08UTC+01:00,19339.5
2007-01-07T09UTC+01:00,20733.3
2007-01-07T10UTC+01:00,23350
2007-01-07T11UTC+01:00,25036.9
2007-01-07T12UTC+01:00,24909.8
2007-01-07T13UTC+01:00,25010.3
2007-01-07T14UTC+01:00,24484.7
2007-01-07T15UTC+01:00,23472.5
2007-01-07T16UTC+01:00,23814.1
2007-01-07T17UTC+01:00,24562.9
2007-01-07T18UTC+01:00,27820
2007-01-07T19UTC+01:00,30148.2
2007-01-07T20UTC+01:00,30686.7
2007-01-07T21UTC+01:00,31226.6
2007-01-07T22UTC+01:00,29948.8
2007-01-07T23UTC+01:00,29381.7
2007-01-08T00UTC+01:00,25822.4
2007-01-08T01UTC+01:00,23062.9
2007-01-08T02UTC+01:00,21843.2
2007-01-08T03UTC+01:00,20937.1
2007-01-08T04UTC+01:00,20735.2
2007-01-08T05UTC+01:00,21281.1
2007-01-08T06UTC+01:00,24053
2007-01-08T07UTC+01:00,27757
2007-01-08T08UTC+01:00,32655.9
2007-01-08T09UTC+01:00,33750.7
2007-01-08T10UTC+01:00,35126
2007-01-08T11UTC+01:00,35069.7
2007-01-08T12UTC+01:00,34656
2007-01-08T13UTC+01:00,33435.2
2007-01-08T14UTC+01:00,31585.8
2007-01-08T15UTC+01:00,31639.4
2007-01-08T16UTC+01:00,31870.7
2007-01-08T17UTC+01:00,32880.1
2007-01-08T18UTC+01:00,35486.1
2007-01-08T19UTC+01:00,36168.5
2007-01-08T20UTC+01:00,34971
2007-01-08T21UTC+01:00,34371.3
2007-01-08T22UTC+01:00,32093.6
2007-01-08T23UTC+01:00,32031.6
2007-01-09T00UTC+01:00,29265.4
2007-01-09T01UTC+01:00,26518.5
2007-01-09T02UTC+01:00,25191
2007-01-09T03UTC+01:00,23939.3
2007-01-09T04UTC+01:00,23575.9
2007-01-09T05UTC+01:00,23667.8
2007-01-09T06UTC+01:00,25558.4
2007-01-09T07UTC+01:00,30074.9
2007-01-09T08UTC+01:00,33910.5
2007-01-09T09UTC+01:00,35426.2
2007-01-09T10UTC+01:00,35955.3
2007-01-09T11UTC+01:00,35944
2007-01-09T12UTC+01:00,34976.1
2007-01-09T13UTC+01:00,34092.2
2007-01-09T14UTC+01:00,32443.4
2007-01-09T15UTC+01:00,32590.3
2007-01-09T16UTC+01:00,32248.1
2007-01-09T17UTC+01:00,33117.5
2007-01-09T18UTC+01:00,35809.5
2007-01-09T19UTC+01:00,36592.2
2007-01-09T20UTC+01:00,36083.3
2007-01-09T21UTC+01:00,34999.4
2007-01-09T22UTC+01:00,32556.5
2007-01-09T23UTC+01:00,32154.7
2007-01-10T00UTC+01:00,29398.7
2007-01-10T01UTC+01:00,26507.7
2007-01-10T02UTC+01:00,25108.9
2007-01-10T03UTC+01:00,24352
2007-01-10T04UTC+01:00,23748.2
2007-01-10T05UTC+01:00,23532
2007-01-10T06UTC+01:00,25475.2
2007-01-10T07UTC+01:00,29300.9
2007-01-10T08UTC+01:00,33514.9
2007-01-10T09UTC+01:00,34953.8
2007-01-10T10UTC+01:00,35635
2007-01-10T11UTC+01:00,36094.5
2007-01-10T12UTC+01:00,35290.3
2007-01-10T13UTC+01:00,33964
2007-01-10T14UTC+01:00,32310.2
2007-01-10T15UTC+01:00,32238.6
2007-01-10T16UTC+01:00,32222.1
2007-01-10T17UTC+01:00,32642
2007-01-10T18UTC+01:00,35469.9
2007-01-10T19UTC+01:00,36198.1
2007-01-10T20UTC+01:00,35445.5
2007-01-10T21UTC+01:00,34511.3
2007-01-10T22UTC+01:00,32499.7
2007-01-10T23UTC+01:00,32077.8
2007-01-11T00UTC+01:00,29379.6
2007-01-11T01UTC+01:00,26478.4
2007-01-11T02UTC+01:00,24353.4
2007-01-11T03UTC+01:00,23357.9
2007-01-11T04UTC+01:00,22762.1
2007-01-11T05UTC+01:00,23195.7
2007-01-11T06UTC+01:00,25324.4
2007-01-11T07UTC+01:00,29257.8
2007-01-11T08UTC+01:00,33504.4
2007-01-11T09UTC+01:00,33974.2
2007-01-11T10UTC+01:00,34826.3
2007-01-11T11UTC+01:00,34431.5
2007-01-11T12UTC+01:00,34371.8
2007-01-11T13UTC+01:00,33596
2007-01-11T14UTC+01:00,31486.5
2007-01-11T15UTC+01:00,31459.6
2007-01-11T16UTC+01:00,31528
2007-01-11T17UTC+01:00,32301
2007-01-11T18UTC+01:00,34620.2
2007-01-11T19UTC+01:00,35910.7
2007-01-11T20UTC+01:00,35525
2007-01-11T21UTC+01:00,34563.7
2007-01-11T22UTC+01:00,32446.5
2007-01-11T23UTC+01:00,31850.1
2007-01-12T00UTC+01:00,29159.7
2007-01-12T01UTC+01:00,26422.7
2007-01-12T02UTC+01:00,24309.1
