FECHAHORA,DEM
2015-01-01T00UTC+01:00,2531.9
2015-01-01T01UTC+01:00,2525.918
2015-01-01T02UTC+01:00,2486.288
2015-01-01T03UTC+01:00,2467.213
2015-01-01T04UTC+01:00,2468.259
2015-01-01T05UTC+01:00,2492
2015-01-01T06UTC+01:00,2577.369
2015-01-01T07UTC+01:00,2689.446
2015-01-01T08UTC+01:00,2694.096
2015-01-01T09UTC+01:00,2685.573
2015-01-01T10UTC+01:00,2670.993
2015-01-01T11UTC+01:00,2664.587
2015-01-01T12UTC+01:00,2647.545
2015-01-01T13UTC+01:00,2644.575
2015-01-01T14UTC+01:00,2642.911
2015-01-01T15UTC+01:00,2638.597
2015-01-01T16UTC+01:00,2652.091
2015-01-01T17UTC+01:00,2682.868
2015-01-01T18UTC+01:00,2786.374
2015-01-01T19UTC+01:00,2816.142
2015-01-01T20UTC+01:00,2801.001
2015-01-01T21UTC+01:00,2782.077
2015-01-01T22UTC+01:00,2767.914
2015-01-01T23UTC+01:00,2765.968
2015-01-02T00UTC+01:00,2797.888
2015-01-02T01UTC+01:00,2770.244
2015-01-02T02UTC+01:00,2743.209
2015-01-02T03UTC+01:00,2746.154
2015-01-02T04UTC+01:00,2804.851
2015-01-02T05UTC+01:00,3033.11
2015-01-02T06UTC+01:00,3658.693
2015-01-02T07UTC+01:00,4261.683
2015-01-02T08UTC+01:00,4649.713
2015-01-02T09UTC+01:00,4916.012
2015-01-02T10UTC+01:00,5020.257
2015-01-02T11UTC+01:00,5052.868
2015-01-02T12UTC+01:00,5038.779
2015-01-02T13UTC+01:00,4953.73
2015-01-02T14UTC+01:00,4794.258
2015-01-02T15UTC+01:00,4732.413
2015-01-02T16UTC+01:00,4705.54
2015-01-02T17UTC+01:00,4664.123
2015-01-02T18UTC+01:00,4705.875
2015-01-02T19UTC+01:00,4663.01
2015-01-02T20UTC+01:00,4532.823
2015-01-02T21UTC+01:00,4255.272
2015-01-02T22UTC+01:00,3733.516
2015-01-02T23UTC+01:00,3506.659
2015-01-03T00UTC+01:00,3497.882
2015-01-03T01UTC+01:00,3450.795
2015-01-03T02UTC+01:00,3366.798
2015-01-03T03UTC+01:00,3314.995
2015-01-03T04UTC+01:00,3319.031
2015-01-03T05UTC+01:00,3373.469
2015-01-03T06UTC+01:00,3623.023
2015-01-03T07UTC+01:00,3868.055
2015-01-03T08UTC+01:00,4048.901
2015-01-03T09UTC+01:00,4227.06
2015-01-03T10UTC+01:00,4340.299
2015-01-03T11UTC+01:00,4366.152
2015-01-03T12UTC+01:00,4321.753
2015-01-03T13UTC+01:00,4219.04
2015-01-03T14UTC+01:00,4082.618
2015-01-03T15UTC+01:00,4036.283
2015-01-03T16UTC+01:00,4014.862
2015-01-03T17UTC+01:00,4017.447
2015-01-03T18UTC+01:00,4112.088
2015-01-03T19UTC+01:00,4105.784
2015-01-03T20UTC+01:00,4013.404
2015-01-03T21UTC+01:00,3802.767
2015-01-03T22UTC+01:00,3369.153
2015-01-03T23UTC+01:00,3186.812
2015-01-04T00UTC+01:00,3131.043
2015-01-04T01UTC+01:00,3078.127
2015-01-04T02UTC+01:00,3018.192
2015-01-04T03UTC+01:00,2979.801
2015-01-04T04UTC+01:00,2964.855
2015-01-04T05UTC+01:00,3002.963
2015-01-04T06UTC+01:00,3126.283
2015-01-04T07UTC+01:00,3256.12
2015-01-04T08UTC+01:00,3345.509
2015-01-04T09UTC+01:00,3446.554
2015-01-04T10UTC+01:00,3569.49
2015-01-04T11UTC+01:00,3595.405
2015-01-04T12UTC+01:00,3595.54
2015-01-04T13UTC+01:00,3558.568
2015-01-04T14UTC+01:00,3518.86
2015-01-04T15UTC+01:00,3503.668
2015-01-04T16UTC+01:00,3500.848
2015-01-04T17UTC+01:00,3519.933
2015-01-04T18UTC+01:00,3618.641
2015-01-04T19UTC+01:00,3634.942
2015-01-04T20UTC+01:00,3600.58
2015-01-04T21UTC+01:00,3534.603
2015-01-04T22UTC+01:00,3344.772
2015-01-04T23UTC+01:00,3261.021
2015-01-05T00UTC+01:00,3262.352
2015-01-05T01UTC+01:00,3214.826
2015-01-05T02UTC+01:00,3172.058
2015-01-05T03UTC+01:00,3179.385
2015-01-05T04UTC+01:00,3223.759
2015-01-05T05UTC+01:00,3417.699
2015-01-05T06UTC+01:00,3983.161
2015-01-05T07UTC+01:00,4534.297
2015-01-05T08UTC+01:00,4868.539
2015-01-05T09UTC+01:00,5096.912
2015-01-05T10UTC+01:00,5182.857
2015-01-05T11UTC+01:00,5210.665
2015-01-05T12UTC+01:00,5174.307
2015-01-05T13UTC+01:00,5028.474
2015-01-05T14UTC+01:00,4800.313
2015-01-05T15UTC+01:00,4665.052
2015-01-05T16UTC+01:00,4600.887
2015-01-05T17UTC+01:00,4544.606
2015-01-05T18UTC+01:00,4520.09
2015-01-05T19UTC+01:00,4421.25
2015-01-05T20UTC+01:00,4260.779
2015-01-05T21UTC+01:00,3961.815
2015-01-05T22UTC+01:00,3470.536
2015-01-05T23UTC+01:00,3266.807
2015-01-06T00UTC+01:00,3197.983
2015-01-06T01UTC+01:00,3115.886
2015-01-06T02UTC+01:00,3023.209
2015-01-06T03UTC+01:00,2952.658
2015-01-06T04UTC+01:00,2925.924
2015-01-06T05UTC+01:00,2944.672
2015-01-06T06UTC+01:00,3045.094
2015-01-06T07UTC+01:00,3153.489
2015-01-06T08UTC+01:00,3152.099
2015-01-06T09UTC+01:00,3137.066
2015-01-06T10UTC+01:00,3138.888
2015-01-06T11UTC+01:00,3137.179
2015-01-06T12UTC+01:00,3130.36
2015-01-06T13UTC+01:00,3121.764
2015-01-06T14UTC+01:00,3110.237
2015-01-06T15UTC+01:00,3101.8
2015-01-06T16UTC+01:00,3094.615
2015-01-06T17UTC+01:00,3112.724
2015-01-06T18UTC+01:00,3212.724
2015-01-06T19UTC+01:00,3232.015
