FECHAHORA,DEM
2015-01-07T11UTC+01:00,1107.639
2015-01-07T12UTC+01:00,1118.678
2015-01-07T13UTC+01:00,1130.763
2015-01-07T14UTC+01:00,1071.727
2015-01-07T15UTC+01:00,1008.56
2015-01-07T16UTC+01:00,1012.364
2015-01-07T17UTC+01:00,1089.237
2015-01-07T18UTC+01:00,1373.485
2015-01-07T19UTC+01:00,1561.072
2015-01-07T20UTC+01:00,1590.773
2015-01-07T21UTC+01:00,1561.069
2015-01-07T22UTC+01:00,1389.447
2015-01-07T23UTC+01:00,1241.772
2015-01-08T00UTC+01:00,1072.511
2015-01-08T01UTC+01:00,929.728
2015-01-08T02UTC+01:00,845.559
2015-01-08T03UTC+01:00,799.229
2015-01-08T04UTC+01:00,787.59
2015-01-08T05UTC+01:00,817.299
2015-01-08T06UTC+01:00,895.803
2015-01-08T07UTC+01:00,1070.286
2015-01-08T08UTC+01:00,1082.709
2015-01-08T09UTC+01:00,1094.179
2015-01-08T10UTC+01:00,1150.824
2015-01-08T11UTC+01:00,1122.072
2015-01-08T12UTC+01:00,1128.491
2015-01-08T13UTC+01:00,1139.899
2015-01-08T14UTC+01:00,1079.866
2015-01-08T15UTC+01:00,1019.695
2015-01-08T16UTC+01:00,1022.908
2015-01-08T17UTC+01:00,1101.094
2015-01-08T18UTC+01:00,1387.176
2015-01-08T19UTC+01:00,1576.962
2015-01-08T20UTC+01:00,1606.168
2015-01-08T21UTC+01:00,1576.793
2015-01-08T22UTC+01:00,1409.519
2015-01-08T23UTC+01:00,1257.542
2015-01-09T00UTC+01:00,1097.11
2015-01-09T01UTC+01:00,943.603
2015-01-09T02UTC+01:00,856.005
2015-01-09T03UTC+01:00,809.095
2015-01-09T04UTC+01:00,798.562
2015-01-09T05UTC+01:00,828.741
2015-01-09T06UTC+01:00,912.531
2015-01-09T07UTC+01:00,1091.326
2015-01-09T08UTC+01:00,1118.679
2015-01-09T09UTC+01:00,1138.651
2015-01-09T10UTC+01:00,1195.464
2015-01-09T11UTC+01:00,1157.428
2015-01-09T12UTC+01:00,1148.915
2015-01-09T13UTC+01:00,1154.705
2015-01-09T14UTC+01:00,1092.308
2015-01-09T15UTC+01:00,1037.181
2015-01-09T16UTC+01:00,1029.541
2015-01-09T17UTC+01:00,1088.751
2015-01-09T18UTC+01:00,1356.581
2015-01-09T19UTC+01:00,1533.775
2015-01-09T20UTC+01:00,1546.849
2015-01-09T21UTC+01:00,1527.729
2015-01-09T22UTC+01:00,1401.165
2015-01-09T23UTC+01:00,1290.094
2015-01-10T00UTC+01:00,1127.669
2015-01-10T01UTC+01:00,979.879
2015-01-10T02UTC+01:00,874.377
2015-01-10T03UTC+01:00,815.282
2015-01-10T04UTC+01:00,796.123
2015-01-10T05UTC+01:00,820.248
2015-01-10T06UTC+01:00,850.971
2015-01-10T07UTC+01:00,897.157
2015-01-10T08UTC+01:00,878.657
2015-01-10T09UTC+01:00,980.141
2015-01-10T10UTC+01:00,1107.088
2015-01-10T11UTC+01:00,1110.635
2015-01-10T12UTC+01:00,1119.64
2015-01-10T13UTC+01:00,1142.41
2015-01-10T14UTC+01:00,1109.115
2015-01-10T15UTC+01:00,1006.765
2015-01-10T16UTC+01:00,955.262
2015-01-10T17UTC+01:00,977.513
2015-01-10T18UTC+01:00,1242.81
2015-01-10T19UTC+01:00,1408.016
2015-01-10T20UTC+01:00,1441.339
2015-01-10T21UTC+01:00,1453.776
2015-01-10T22UTC+01:00,1354.277
2015-01-10T23UTC+01:00,1260.53
2015-01-11T00UTC+01:00,1148.74
2015-01-11T01UTC+01:00,1003.298
2015-01-11T02UTC+01:00,896.903
2015-01-11T03UTC+01:00,833.289
2015-01-11T04UTC+01:00,808.829
2015-01-11T05UTC+01:00,830.567
2015-01-11T06UTC+01:00,855.716
2015-01-11T07UTC+01:00,879.108
2015-01-11T08UTC+01:00,817.276
2015-01-11T09UTC+01:00,893.827
2015-01-11T10UTC+01:00,1035.091
2015-01-11T11UTC+01:00,1072.422
2015-01-11T12UTC+01:00,1077.206
2015-01-11T13UTC+01:00,1088.992
2015-01-11T14UTC+01:00,1088.359
2015-01-11T15UTC+01:00,983.905
2015-01-11T16UTC+01:00,933.772
2015-01-11T17UTC+01:00,954.907
2015-01-11T18UTC+01:00,1232.932
2015-01-11T19UTC+01:00,1424.183
2015-01-11T20UTC+01:00,1490.895
2015-01-11T21UTC+01:00,1509.793
2015-01-11T22UTC+01:00,1372.498
2015-01-11T23UTC+01:00,1251.242
2015-01-12T00UTC+01:00,1062.349
2015-01-12T01UTC+01:00,931.807
2015-01-12T02UTC+01:00,843.532
2015-01-12T03UTC+01:00,799.218
2015-01-12T04UTC+01:00,784.669
2015-01-12T05UTC+01:00,812.442
2015-01-12T06UTC+01:00,885.454
2015-01-12T07UTC+01:00,1045.666
2015-01-12T08UTC+01:00,1041.443
2015-01-12T09UTC+01:00,1054.573
2015-01-12T10UTC+01:00,1119.725
2015-01-12T11UTC+01:00,1104.85
2015-01-12T12UTC+01:00,1102.707
2015-01-12T13UTC+01:00,1109.822
2015-01-12T14UTC+01:00,1050.782
2015-01-12T15UTC+01:00,986.323
2015-01-12T16UTC+01:00,984.212
2015-01-12T17UTC+01:00,1047.928
2015-01-12T18UTC+01:00,1331.171
2015-01-12T19UTC+01:00,1541.823
2015-01-12T20UTC+01:00,1576.442
2015-01-12T21UTC+01:00,1557.472
2015-01-12T22UTC+01:00,1397.026
2015-01-12T23UTC+01:00,1247.594
2015-01-13T00UTC+01:00,1065.159
2015-01-13T01UTC+01:00,924.626
2015-01-13T02UTC+01:00,841.629
