FECHAHORA,DEM
2015-01-01T00UTC+01:00,8039.673
2015-01-01T01UTC+01:00,6882.093
2015-01-01T02UTC+01:00,6039.369
2015-01-01T03UTC+01:00,5526.696
2015-01-01T04UTC+01:00,5276.473
2015-01-01T05UTC+01:00,5316.864
2015-01-01T06UTC+01:00,5512.207
2015-01-01T07UTC+01:00,5819.321
2015-01-01T08UTC+01:00,6055.053
2015-01-01T09UTC+01:00,7160.371
2015-01-01T10UTC+01:00,8510.849
2015-01-01T11UTC+01:00,9132.116
2015-01-01T12UTC+01:00,9304.009
2015-01-01T13UTC+01:00,9466.371
2015-01-01T14UTC+01:00,9492.224
2015-01-01T15UTC+01:00,8609.121
2015-01-01T16UTC+01:00,8163.62
2015-01-01T17UTC+01:00,8330.628
2015-01-01T18UTC+01:00,9818.117
2015-01-01T19UTC+01:00,10817.515
2015-01-01T20UTC+01:00,11433.206
2015-01-01T21UTC+01:00,11566.994
2015-01-01T22UTC+01:00,10498.686
2015-01-01T23UTC+01:00,9006.692
2015-01-02T00UTC+01:00,7335.811
2015-01-02T01UTC+01:00,6033.911
2015-01-02T02UTC+01:00,5391.69
2015-01-02T03UTC+01:00,5053.759
2015-01-02T04UTC+01:00,4969.973
2015-01-02T05UTC+01:00,5133.063
2015-01-02T06UTC+01:00,5851.186
2015-01-02T07UTC+01:00,7479.592
2015-01-02T08UTC+01:00,8581.302
2015-01-02T09UTC+01:00,9470.008
2015-01-02T10UTC+01:00,10294.279
2015-01-02T11UTC+01:00,10197.747
2015-01-02T12UTC+01:00,10121.051
2015-01-02T13UTC+01:00,10214.974
2015-01-02T14UTC+01:00,9663.415
2015-01-02T15UTC+01:00,9144.706
2015-01-02T16UTC+01:00,9110.038
2015-01-02T17UTC+01:00,9659.774
2015-01-02T18UTC+01:00,11117.912
2015-01-02T19UTC+01:00,11946.218
2015-01-02T20UTC+01:00,11966.423
2015-01-02T21UTC+01:00,11705.304
2015-01-02T22UTC+01:00,10790.323
2015-01-02T23UTC+01:00,9420.211
2015-01-03T00UTC+01:00,8073.068
2015-01-03T01UTC+01:00,6759.411
2015-01-03T02UTC+01:00,5899.833
2015-01-03T03UTC+01:00,5448.435
2015-01-03T04UTC+01:00,5285.796
2015-01-03T05UTC+01:00,5390.67
2015-01-03T06UTC+01:00,5682.005
2015-01-03T07UTC+01:00,6237.168
2015-01-03T08UTC+01:00,6939.603
2015-01-03T09UTC+01:00,8460.908
2015-01-03T10UTC+01:00,9848.421
2015-01-03T11UTC+01:00,10150.379
2015-01-03T12UTC+01:00,10247.78
2015-01-03T13UTC+01:00,10500.853
2015-01-03T14UTC+01:00,10189.783
2015-01-03T15UTC+01:00,9271.643
2015-01-03T16UTC+01:00,8786.816
2015-01-03T17UTC+01:00,8941.594
2015-01-03T18UTC+01:00,10388.254
2015-01-03T19UTC+01:00,11232.187
2015-01-03T20UTC+01:00,11532.299
2015-01-03T21UTC+01:00,11574.59
2015-01-03T22UTC+01:00,10801.787
2015-01-03T23UTC+01:00,9555.151
2015-01-04T00UTC+01:00,8419.272
2015-01-04T01UTC+01:00,7104.095
2015-01-04T02UTC+01:00,6227.079
2015-01-04T03UTC+01:00,5723.081
2015-01-04T04UTC+01:00,5496.377
2015-01-04T05UTC+01:00,5568.03
2015-01-04T06UTC+01:00,5792.947
2015-01-04T07UTC+01:00,6140.002
2015-01-04T08UTC+01:00,6457.594
2015-01-04T09UTC+01:00,7743.856
2015-01-04T10UTC+01:00,9236.485
2015-01-04T11UTC+01:00,9846.404
2015-01-04T12UTC+01:00,9911.632
2015-01-04T13UTC+01:00,10042.41
2015-01-04T14UTC+01:00,10064.634
2015-01-04T15UTC+01:00,9157.912
2015-01-04T16UTC+01:00,8675.067
2015-01-04T17UTC+01:00,8825.987
2015-01-04T18UTC+01:00,10345.207
2015-01-04T19UTC+01:00,11358.741
2015-01-04T20UTC+01:00,11996.514
2015-01-04T21UTC+01:00,12117.771
2015-01-04T22UTC+01:00,11016.341
2015-01-04T23UTC+01:00,9470.865
2015-01-05T00UTC+01:00,7374.515
2015-01-05T01UTC+01:00,6227.32
2015-01-05T02UTC+01:00,5542.865
2015-01-05T03UTC+01:00,5220.976
2015-01-05T04UTC+01:00,5093.989
2015-01-05T05UTC+01:00,5214.796
2015-01-05T06UTC+01:00,5798.654
2015-01-05T07UTC+01:00,7289.654
2015-01-05T08UTC+01:00,8086.987
2015-01-05T09UTC+01:00,8869.43
2015-01-05T10UTC+01:00,9744.678
2015-01-05T11UTC+01:00,9856.138
2015-01-05T12UTC+01:00,9808.976
2015-01-05T13UTC+01:00,9912.922
2015-01-05T14UTC+01:00,9362.023
2015-01-05T15UTC+01:00,8708.147
2015-01-05T16UTC+01:00,8699.994
2015-01-05T17UTC+01:00,9268.655
2015-01-05T18UTC+01:00,10790.553
2015-01-05T19UTC+01:00,11825.912
2015-01-05T20UTC+01:00,12009.359
2015-01-05T21UTC+01:00,11813.505
2015-01-05T22UTC+01:00,10641.316
2015-01-05T23UTC+01:00,9046.178
2015-01-06T00UTC+01:00,8271.347
2015-01-06T01UTC+01:00,6987.595
2015-01-06T02UTC+01:00,6120.665
2015-01-06T03UTC+01:00,5620.754
2015-01-06T04UTC+01:00,5401.054
2015-01-06T05UTC+01:00,5463.505
2015-01-06T06UTC+01:00,5684.997
2015-01-06T07UTC+01:00,6023.189
2015-01-06T08UTC+01:00,6324.26
2015-01-06T09UTC+01:00,7566.111
2015-01-06T10UTC+01:00,9008.223
2015-01-06T11UTC+01:00,9605.993
2015-01-06T12UTC+01:00,9674.52
2015-01-06T13UTC+01:00,9784.624
2015-01-06T14UTC+01:00,9762.876
2015-01-06T15UTC+01:00,8845.478
2015-01-06T16UTC+01:00,8379.738
2015-01-06T17UTC+01:00,8547.338
2015-01-06T18UTC+01:00,10042.087
2015-01-06T19UTC+01:00,11050.818
2015-01-06T20UTC+01:00,11675.459
2015-01-06T21UTC+01:00,11846.787
2015-01-06T22UTC+01:00,10814.912
2015-01-06T23UTC+01:00,9294.885
2015-01-07T00UTC+01:00,7519.717
2015-01-07T01UTC+01:00,6281.375
2015-01-07T02UTC+01:00,5652.01
2015-01-07T03UTC+01:00,5320.173
2015-01-07T04UTC+01:00,5229.491
2015-01-07T05UTC+01:00,5399.52
2015-01-07T06UTC+01:00,6140.465
2015-01-07T07UTC+01:00,7895.257
2015-01-07T08UTC+01:00,8929.295
2015-01-07T09UTC+01:00,9711.766
2015-01-07T10UTC+01:00,10520.191
2015-01-07T11UTC+01:00,10526.919
2015-01-07T12UTC+01:00,10517.246
2015-01-07T13UTC+01:00,10640.061
2015-01-07T14UTC+01:00,10017.641
2015-01-07T15UTC+01:00,9416.942
2015-01-07T16UTC+01:00,9500.438
2015-01-07T17UTC+01:00,10249.247
2015-01-07T18UTC+01:00,11887.957
2015-01-07T19UTC+01:00,12880.324
2015-01-07T20UTC+01:00,13012.618
2015-01-07T21UTC+01:00,12597.618
2015-01-07T22UTC+01:00,11337.912
2015-01-07T23UTC+01:00,9556.97
2015-01-08T00UTC+01:00,7796.639
2015-01-08T01UTC+01:00,6509.437
2015-01-08T02UTC+01:00,5865.772
2015-01-08T03UTC+01:00,5524.046
2015-01-08T04UTC+01:00,5422.726
2015-01-08T05UTC+01:00,5590.611
2015-01-08T06UTC+01:00,6334.604
2015-01-08T07UTC+01:00,8168.838
2015-01-08T08UTC+01:00,9212.712
2015-01-08T09UTC+01:00,9921.47
2015-01-08T10UTC+01:00,10698.363
2015-01-08T11UTC+01:00,10666.294
2015-01-08T12UTC+01:00,10627.568
2015-01-08T13UTC+01:00,10745.592
2015-01-08T14UTC+01:00,10110.21
2015-01-08T15UTC+01:00,9539.472
2015-01-08T16UTC+01:00,9620.112
2015-01-08T17UTC+01:00,10380.584
2015-01-08T18UTC+01:00,12035.723
2015-01-08T19UTC+01:00,13050.07
2015-01-08T20UTC+01:00,13176.615
2015-01-08T21UTC+01:00,12762.228
2015-01-08T22UTC+01:00,11504.338
2015-01-08T23UTC+01:00,9676.114
2015-01-09T00UTC+01:00,7985.739
2015-01-09T01UTC+01:00,6591.852
2015-01-09T02UTC+01:00,5909.77
2015-01-09T03UTC+01:00,5555.814
2015-01-09T04UTC+01:00,5474.966
2015-01-09T05UTC+01:00,5650.224
2015-01-09T06UTC+01:00,6450.914
2015-01-09T07UTC+01:00,8336.708
2015-01-09T08UTC+01:00,9557.395
2015-01-09T09UTC+01:00,10370.746
2015-01-09T10UTC+01:00,11149.777
2015-01-09T11UTC+01:00,11009.724
2015-01-09T12UTC+01:00,10874.072
2015-01-09T13UTC+01:00,10916.846
2015-01-09T14UTC+01:00,10258.297
2015-01-09T15UTC+01:00,9731.718
2015-01-09T16UTC+01:00,9704.601
2015-01-09T17UTC+01:00,10270.248
2015-01-09T18UTC+01:00,11777.714
2015-01-09T19UTC+01:00,12668.39
2015-01-09T20UTC+01:00,12664.495
2015-01-09T21UTC+01:00,12324.822
2015-01-09T22UTC+01:00,11429.8
2015-01-09T23UTC+01:00,9992.98
2015-01-10T00UTC+01:00,8333.42
2015-01-10T01UTC+01:00,6986.698
2015-01-10T02UTC+01:00,6112.008
2015-01-10T03UTC+01:00,5649.557
2015-01-10T04UTC+01:00,5476.163
2015-01-10T05UTC+01:00,5577.019
2015-01-10T06UTC+01:00,5867.242
2015-01-10T07UTC+01:00,6441.656
2015-01-10T08UTC+01:00,7150.607
2015-01-10T09UTC+01:00,8704.059
2015-01-10T10UTC+01:00,10088.32
2015-01-10T11UTC+01:00,10361.436
2015-01-10T12UTC+01:00,10416.219
2015-01-10T13UTC+01:00,10671.899
2015-01-10T14UTC+01:00,10330.539
2015-01-10T15UTC+01:00,9357.029
2015-01-10T16UTC+01:00,8880.229
2015-01-10T17UTC+01:00,9048.949
2015-01-10T18UTC+01:00,10476.888
2015-01-10T19UTC+01:00,11338.1
2015-01-10T20UTC+01:00,11633.974
2015-01-10T21UTC+01:00,11662.849
2015-01-10T22UTC+01:00,10975.637
2015-01-10T23UTC+01:00,9721.268
2015-01-11T00UTC+01:00,8496.884
2015-01-11T01UTC+01:00,7180.723
2015-01-11T02UTC+01:00,6295.096
2015-01-11T03UTC+01:00,5793.125
2015-01-11T04UTC+01:00,5574.215
2015-01-11T05UTC+01:00,5647.591
2015-01-11T06UTC+01:00,5874.242
2015-01-11T07UTC+01:00,6219.214
2015-01-11T08UTC+01:00,6520.691
2015-01-11T09UTC+01:00,7789.742
2015-01-11T10UTC+01:00,9261.536
2015-01-11T11UTC+01:00,9876.043
2015-01-11T12UTC+01:00,9916.869
2015-01-11T13UTC+01:00,10045.088
2015-01-11T14UTC+01:00,10063.577
2015-01-11T15UTC+01:00,9128.262
2015-01-11T16UTC+01:00,8648.363
2015-01-11T17UTC+01:00,8796.521
2015-01-11T18UTC+01:00,10324.739
2015-01-11T19UTC+01:00,11398.679
2015-01-11T20UTC+01:00,12046.404
2015-01-11T21UTC+01:00,12141.071
2015-01-11T22UTC+01:00,11101.184
2015-01-11T23UTC+01:00,9547.877
2015-01-12T00UTC+01:00,7685.359
2015-01-12T01UTC+01:00,6509.315
2015-01-12T02UTC+01:00,5810.882
2015-01-12T03UTC+01:00,5487.246
2015-01-12T04UTC+01:00,5372.676
2015-01-12T05UTC+01:00,5512.35
2015-01-12T06UTC+01:00,6204.634
2015-01-12T07UTC+01:00,7912.512
2015-01-12T08UTC+01:00,8801.837
2015-01-12T09UTC+01:00,9517.772
2015-01-12T10UTC+01:00,10370.112
2015-01-12T11UTC+01:00,10470.978
2015-01-12T12UTC+01:00,10402.605
2015-01-12T13UTC+01:00,10492.011
2015-01-12T14UTC+01:00,9882.093
2015-01-12T15UTC+01:00,9240.654
2015-01-12T16UTC+01:00,9263.979
2015-01-12T17UTC+01:00,9887.147
2015-01-12T18UTC+01:00,11546.572
2015-01-12T19UTC+01:00,12740.048
2015-01-12T20UTC+01:00,12933.784
2015-01-12T21UTC+01:00,12635.634
2015-01-12T22UTC+01:00,11361.085
2015-01-12T23UTC+01:00,9561.006
2015-01-13T00UTC+01:00,7742.672
2015-01-13T01UTC+01:00,6476.026
2015-01-13T02UTC+01:00,5840.713
2015-01-13T03UTC+01:00,5499.721
2015-01-13T04UTC+01:00,5404.92
2015-01-13T05UTC+01:00,5567.092
2015-01-13T06UTC+01:00,6302.862
2015-01-13T07UTC+01:00,8115.589
2015-01-13T08UTC+01:00,9127.142
2015-01-13T09UTC+01:00,9815.139
2015-01-13T10UTC+01:00,10547.735
2015-01-13T11UTC+01:00,10512.118
2015-01-13T12UTC+01:00,10458.761
2015-01-13T13UTC+01:00,10558.931
2015-01-13T14UTC+01:00,9940.027
2015-01-13T15UTC+01:00,9364.205
2015-01-13T16UTC+01:00,9443.045
2015-01-13T17UTC+01:00,10183.441
2015-01-13T18UTC+01:00,11800.009
2015-01-13T19UTC+01:00,12822.464
2015-01-13T20UTC+01:00,12940.395
2015-01-13T21UTC+01:00,12541
2015-01-13T22UTC+01:00,11358.647
2015-01-13T23UTC+01:00,9566.451
2015-01-14T00UTC+01:00,7741.784
2015-01-14T01UTC+01:00,6475.421
2015-01-14T02UTC+01:00,5838.598
2015-01-14T03UTC+01:00,5498.645
2015-01-14T04UTC+01:00,5404.936
2015-01-14T05UTC+01:00,5566.873
2015-01-14T06UTC+01:00,6302.649
2015-01-14T07UTC+01:00,8103.934
2015-01-14T08UTC+01:00,9108.196
2015-01-14T09UTC+01:00,9779.997
2015-01-14T10UTC+01:00,10525.435
2015-01-14T11UTC+01:00,10482.954
2015-01-14T12UTC+01:00,10433.896
2015-01-14T13UTC+01:00,10543.914
2015-01-14T14UTC+01:00,9925.689
2015-01-14T15UTC+01:00,9351.291
2015-01-14T16UTC+01:00,9450.736
2015-01-14T17UTC+01:00,10189.774
2015-01-14T18UTC+01:00,11794.412
2015-01-14T19UTC+01:00,12797.422
2015-01-14T20UTC+01:00,12918.061
2015-01-14T21UTC+01:00,12514.642
2015-01-14T22UTC+01:00,11349.366
2015-01-14T23UTC+01:00,9555.483
2015-01-15T00UTC+01:00,7726.1
2015-01-15T01UTC+01:00,6466.081
2015-01-15T02UTC+01:00,5824.017
2015-01-15T03UTC+01:00,5499.178
2015-01-15T04UTC+01:00,5396.827
2015-01-15T05UTC+01:00,5567.91
2015-01-15T06UTC+01:00,6294.201
2015-01-15T07UTC+01:00,8087.361
2015-01-15T08UTC+01:00,9075.182
2015-01-15T09UTC+01:00,9760.746
2015-01-15T10UTC+01:00,10498.567
2015-01-15T11UTC+01:00,10465.949
2015-01-15T12UTC+01:00,10416.036
2015-01-15T13UTC+01:00,10527.648
2015-01-15T14UTC+01:00,9917.155
2015-01-15T15UTC+01:00,9353.219
2015-01-15T16UTC+01:00,9456.005
2015-01-15T17UTC+01:00,10198.897
2015-01-15T18UTC+01:00,11778.503
2015-01-15T19UTC+01:00,12763.555
2015-01-15T20UTC+01:00,12861.286
2015-01-15T21UTC+01:00,12443.812
2015-01-15T22UTC+01:00,11331.016
2015-01-15T23UTC+01:00,9559.038
2015-01-16T00UTC+01:00,7964.718
2015-01-16T01UTC+01:00,6595.06
2015-01-16T02UTC+01:00,5907.11
2015-01-16T03UTC+01:00,5558.412
2015-01-16T04UTC+01:00,5475.742
2015-01-16T05UTC+01:00,5644.957
2015-01-16T06UTC+01:00,6430.063
2015-01-16T07UTC+01:00,8277.889
2015-01-16T08UTC+01:00,9434.006
2015-01-16T09UTC+01:00,10223.893
2015-01-16T10UTC+01:00,11003.741
2015-01-16T11UTC+01:00,10897.678
2015-01-16T12UTC+01:00,10751.797
2015-01-16T13UTC+01:00,10809.356
2015-01-16T14UTC+01:00,10186.125
2015-01-16T15UTC+01:00,9683.83
2015-01-16T16UTC+01:00,9652.589
2015-01-16T17UTC+01:00,10213.296
2015-01-16T18UTC+01:00,11643.738
2015-01-16T19UTC+01:00,12528.558
2015-01-16T20UTC+01:00,12507.672
2015-01-16T21UTC+01:00,12177.14
2015-01-16T22UTC+01:00,11362.078
2015-01-16T23UTC+01:00,9940.472
2015-01-17T00UTC+01:00,8361.336
2015-01-17T01UTC+01:00,7044.521
2015-01-17T02UTC+01:00,6170.876
2015-01-17T03UTC+01:00,5700.576
2015-01-17T04UTC+01:00,5532.128
2015-01-17T05UTC+01:00,5634.391
2015-01-17T06UTC+01:00,5913.47
2015-01-17T07UTC+01:00,6481.974
2015-01-17T08UTC+01:00,7186.53
2015-01-17T09UTC+01:00,8761.695
2015-01-17T10UTC+01:00,10164.918
2015-01-17T11UTC+01:00,10454.857
2015-01-17T12UTC+01:00,10470.644
2015-01-17T13UTC+01:00,10734.712
2015-01-17T14UTC+01:00,10383.633
2015-01-17T15UTC+01:00,9425.929
2015-01-17T16UTC+01:00,8923.584
2015-01-17T17UTC+01:00,9070.473
2015-01-17T18UTC+01:00,10463.108
2015-01-17T19UTC+01:00,11347.354
2015-01-17T20UTC+01:00,11644.4
2015-01-17T21UTC+01:00,11663.277
2015-01-17T22UTC+01:00,11057.625
2015-01-17T23UTC+01:00,9797.512
2015-01-18T00UTC+01:00,8657.579
2015-01-18T01UTC+01:00,7340.864
2015-01-18T02UTC+01:00,6441.042
2015-01-18T03UTC+01:00,5928.738
2015-01-18T04UTC+01:00,5701.887
2015-01-18T05UTC+01:00,5772.848
2015-01-18T06UTC+01:00,5997.275
2015-01-18T07UTC+01:00,6341.429
2015-01-18T08UTC+01:00,6642.848
2015-01-18T09UTC+01:00,7964.157
2015-01-18T10UTC+01:00,9507.423
2015-01-18T11UTC+01:00,10174.144
2015-01-18T12UTC+01:00,10219.812
2015-01-18T13UTC+01:00,10390.094
2015-01-18T14UTC+01:00,10421.982
2015-01-18T15UTC+01:00,9455.735
2015-01-18T16UTC+01:00,8956.385
2015-01-18T17UTC+01:00,9089.649
2015-01-18T18UTC+01:00,10572.671
2015-01-18T19UTC+01:00,11598.618
2015-01-18T20UTC+01:00,12238.192
2015-01-18T21UTC+01:00,12334.09
2015-01-18T22UTC+01:00,11361.36
2015-01-18T23UTC+01:00,9751.153
2015-01-19T00UTC+01:00,7832.912
2015-01-19T01UTC+01:00,6642.09
2015-01-19T02UTC+01:00,5930.037
2015-01-19T03UTC+01:00,5599.315
2015-01-19T04UTC+01:00,5476.949
2015-01-19T05UTC+01:00,5620.24
2015-01-19T06UTC+01:00,6318.163
2015-01-19T07UTC+01:00,8034.358
2015-01-19T08UTC+01:00,8939.683
2015-01-19T09UTC+01:00,9678.552
2015-01-19T10UTC+01:00,10592.407
2015-01-19T11UTC+01:00,10732.479
2015-01-19T12UTC+01:00,10657.021
2015-01-19T13UTC+01:00,10776.54
2015-01-19T14UTC+01:00,10153.291
2015-01-19T15UTC+01:00,9506.972
2015-01-19T16UTC+01:00,9517.486
2015-01-19T17UTC+01:00,10155.128
2015-01-19T18UTC+01:00,11779.368
2015-01-19T19UTC+01:00,12988.314
2015-01-19T20UTC+01:00,13172.97
2015-01-19T21UTC+01:00,12833.202
2015-01-19T22UTC+01:00,11596.793
2015-01-19T23UTC+01:00,9759.931
2015-01-20T00UTC+01:00,7960.436
2015-01-20T01UTC+01:00,6651.416
2015-01-20T02UTC+01:00,5991.329
2015-01-20T03UTC+01:00,5651.379
2015-01-20T04UTC+01:00,5549.299
2015-01-20T05UTC+01:00,5722.318
2015-01-20T06UTC+01:00,6473.843
2015-01-20T07UTC+01:00,8329.056
2015-01-20T08UTC+01:00,9353.682
2015-01-20T09UTC+01:00,10070.712
2015-01-20T10UTC+01:00,10855.669
2015-01-20T11UTC+01:00,10842.961
2015-01-20T12UTC+01:00,10783.561
2015-01-20T13UTC+01:00,10925.909
2015-01-20T14UTC+01:00,10293.783
2015-01-20T15UTC+01:00,9702.833
2015-01-20T16UTC+01:00,9808.04
2015-01-20T17UTC+01:00,10578.893
2015-01-20T18UTC+01:00,12186.5
2015-01-20T19UTC+01:00,13202.868
2015-01-20T20UTC+01:00,13315.267
2015-01-20T21UTC+01:00,12887.679
2015-01-20T22UTC+01:00,11750.394
2015-01-20T23UTC+01:00,9886.216
2015-01-21T00UTC+01:00,7997.933
2015-01-21T01UTC+01:00,6685.629
2015-01-21T02UTC+01:00,6018.305
2015-01-21T03UTC+01:00,5670.355
2015-01-21T04UTC+01:00,5567.779
2015-01-21T05UTC+01:00,5735.823
2015-01-21T06UTC+01:00,6491.551
2015-01-21T07UTC+01:00,8345.595
2015-01-21T08UTC+01:00,9375.074
2015-01-21T09UTC+01:00,10106.897
2015-01-21T10UTC+01:00,10887.807
2015-01-21T11UTC+01:00,10865.121
2015-01-21T12UTC+01:00,10784.648
2015-01-21T13UTC+01:00,10922.582
2015-01-21T14UTC+01:00,10300.405
2015-01-21T15UTC+01:00,9722.194
2015-01-21T16UTC+01:00,9820.957
2015-01-21T17UTC+01:00,10598.645
2015-01-21T18UTC+01:00,12183.384
2015-01-21T19UTC+01:00,13194.009
2015-01-21T20UTC+01:00,13313.267
2015-01-21T21UTC+01:00,12886.408
2015-01-21T22UTC+01:00,11765.245
2015-01-21T23UTC+01:00,9920.607
2015-01-22T00UTC+01:00,8001.567
2015-01-22T01UTC+01:00,6684.918
2015-01-22T02UTC+01:00,6019.636
2015-01-22T03UTC+01:00,5672.811
2015-01-22T04UTC+01:00,5569.224
2015-01-22T05UTC+01:00,5736.6
2015-01-22T06UTC+01:00,6487.139
2015-01-22T07UTC+01:00,8322.125
2015-01-22T08UTC+01:00,9324.351
2015-01-22T09UTC+01:00,10042.367
2015-01-22T10UTC+01:00,10827.664
2015-01-22T11UTC+01:00,10791.189
2015-01-22T12UTC+01:00,10721.045
2015-01-22T13UTC+01:00,10848.843
2015-01-22T14UTC+01:00,10235.199
2015-01-22T15UTC+01:00,9641.159
2015-01-22T16UTC+01:00,9741.908
2015-01-22T17UTC+01:00,10503.304
2015-01-22T18UTC+01:00,12087.402
2015-01-22T19UTC+01:00,13119.018
2015-01-22T20UTC+01:00,13235.156
2015-01-22T21UTC+01:00,12821.049
2015-01-22T22UTC+01:00,11720.546
2015-01-22T23UTC+01:00,9886.095
