FECHAHORA,DEM
2015-01-01T00UTC+01:00,1013.605
2015-01-01T01UTC+01:00,1016.335
2015-01-01T02UTC+01:00,997.502
2015-01-01T03UTC+01:00,983.839
2015-01-01T04UTC+01:00,973.465
2015-01-01T05UTC+01:00,974.33
2015-01-01T06UTC+01:00,1009.413
2015-01-01T07UTC+01:00,1072.007
2015-01-01T08UTC+01:00,998.73
2015-01-01T09UTC+01:00,1002.237
2015-01-01T10UTC+01:00,1009.161
2015-01-01T11UTC+01:00,1006.286
2015-01-01T12UTC+01:00,999.927
2015-01-01T13UTC+01:00,967.939
2015-01-01T14UTC+01:00,949.069
2015-01-01T15UTC+01:00,934.651
2015-01-01T16UTC+01:00,924.704
2015-01-01T17UTC+01:00,928.259
2015-01-01T18UTC+01:00,999.087
2015-01-01T19UTC+01:00,1017.087
2015-01-01T20UTC+01:00,1005.279
2015-01-01T21UTC+01:00,978.362
2015-01-01T22UTC+01:00,948.121
2015-01-01T23UTC+01:00,927.375
2015-01-02T00UTC+01:00,1041.414
2015-01-02T01UTC+01:00,1030.79
2015-01-02T02UTC+01:00,1011.506
2015-01-02T03UTC+01:00,998.151
2015-01-02T04UTC+01:00,1002.216
2015-01-02T05UTC+01:00,1045.228
2015-01-02T06UTC+01:00,1208.44
2015-01-02T07UTC+01:00,1484.72
2015-01-02T08UTC+01:00,1651.228
2015-01-02T09UTC+01:00,1842.719
2015-01-02T10UTC+01:00,1891.618
2015-01-02T11UTC+01:00,1899.38
2015-01-02T12UTC+01:00,1866.574
2015-01-02T13UTC+01:00,1720.036
2015-01-02T14UTC+01:00,1574.961
2015-01-02T15UTC+01:00,1526.676
2015-01-02T16UTC+01:00,1531.939
2015-01-02T17UTC+01:00,1542.49
2015-01-02T18UTC+01:00,1626.69
2015-01-02T19UTC+01:00,1576.607
2015-01-02T20UTC+01:00,1481.42
2015-01-02T21UTC+01:00,1316.16
2015-01-02T22UTC+01:00,1119.313
2015-01-02T23UTC+01:00,1049.4
2015-01-03T00UTC+01:00,1111.575
2015-01-03T01UTC+01:00,1094.167
2015-01-03T02UTC+01:00,1069.223
2015-01-03T03UTC+01:00,1050.629
2015-01-03T04UTC+01:00,1051.756
2015-01-03T05UTC+01:00,1071.246
2015-01-03T06UTC+01:00,1157.392
2015-01-03T07UTC+01:00,1318.735
2015-01-03T08UTC+01:00,1378.916
2015-01-03T09UTC+01:00,1490.725
2015-01-03T10UTC+01:00,1544.443
2015-01-03T11UTC+01:00,1557.541
2015-01-03T12UTC+01:00,1527.736
2015-01-03T13UTC+01:00,1423.235
2015-01-03T14UTC+01:00,1324.302
2015-01-03T15UTC+01:00,1281.439
2015-01-03T16UTC+01:00,1269.763
2015-01-03T17UTC+01:00,1267.822
2015-01-03T18UTC+01:00,1330.15
2015-01-03T19UTC+01:00,1328.817
2015-01-03T20UTC+01:00,1286.49
2015-01-03T21UTC+01:00,1194.459
2015-01-03T22UTC+01:00,1068.655
2015-01-03T23UTC+01:00,1019.302
